Stimulus,Subset,ComposerSurname,ComposerName,Year,Work,Movement_Act_RehearsalNumber,Instrument,Instrumentation,Genre_Type,Pole,Notes,Melody,Tempo,TimeSignature,Mode,MinPitch(MIDI),MaxPitch(MIDI),PitchRange(MIDI distance),Duration(s)
K14,K,Respighi,O.,1921,Adagio con variazioni P. 133,Var. I,Vcl.,Solo–Orchestra,Variations,Complex,,K14,120,4/4,B-M,51,80,29,9.00
K15,K,Scarlatti,D.,ca. 1720,Sonata K. 61,,Keyboard,Solo,Variations,Simple,,K15,120,2/4,A-m,57,76,19,6.00
K16,K,Scarlatti,D.,ca. 1720,Sonata K. 62,,Keyboard,Solo,Variations,Complex,,K16,120,2/4,A-m,68,83,15,6.00
K17,K,Schönberg,A.,1943,Theme and variations Op. 43,Theme,Pn.,Orchestra,Variations,Simple,,K17,80,4/4,-,63,72,9,9.75
K18,K,Schönberg,A.,1943,Theme and variations Op. 43,Var. V,Pn.,Orchestra,Variations,Complex,,K18,80,4/4,-,67,80,13,9.75
K19,K,Schubert,F.,1810,Sieben leichte Variationen in G,Theme,Pn.,Solo,Variations,Simple,,K19,140,4/4,G-M,67,74,7,6.86
K20,K,Schubert,F.,1810,Sieben leichte Variationen in G,Variation V,Pn.,Solo,Variations,Complex,,K20,140,4/4,G-M,54,74,20,5.57
K21,K,Schumann,R.,1843,Andante und variationen Op. 46,Andante,Pn.,Chamber,Variations,Simple,,K21,120,3/4,Bb-M,64,81,17,6.00
K22,K,Schumann,R.,1843,Andante und variationen Op. 46,Var.,Pn.,Chamber,Variations,Complex,,K22,120,3/4,Bb-M,58,87,29,6.00
K23,K,Tchaikovsky,P. I.,1864,Tema con variazioni TH121,Tema,Pn.,Solo,Variations,Simple,,K23,100,3/4,A-m,69,76,7,6.60
K24,K,Tchaikovsky,P. I.,1864,Tema con variazioni TH121,Var. II,Pn.,Solo,Variations,Complex,,K24,100,3/4,A-m,44,74,30,6.60
S1,S,Bach,J. S.,1747,Musikalisches Opfer BWV 1079,Canon Cancrizantz,-,Solo,Canon,Symmetric,,S1,180,4/4,F-M,64,77,13,10.33
S2,S,Bach,J. S.,1747,Musikalisches Opfer BWV 1080,Canon Cancrizantz,-,Solo,Canon,Asymmetric,,S2,90,4/4,F-M,65,77,12,10.00
S3,S,Bach,J. S.,ca. 1740,Canon,,-,Solo,Canon,Symmetric,,S3,96,2/4,C-m,60,77,17,8.44
